Date,Match,Bet,Odds,Stake,Status,P/L,Notes,Combined Odds
2026-05-25,Norge vs Danmark (IIHF),Over 4.5 Total Goals,1.67,10 NOK,Won,+6.70 NOK,"Over 4.5 win (4-3 OT) 16.70 payout",
2026-05-25,Norge vs Danmark (IIHF),Norge -1.5 Handicap,2.15,10 NOK,Lost,-10 NOK,"OT loss (4-3)",
2026-05-25,Montreal vs Carolina (NHL),Over 5.5 Goals,1.72,10 NOK,Lost,-10 NOK,"Playoff volatility",
2026-05-25,Vegas + Dodgers + Botafogo Combo,Vegas Win + Dodgers -2.5 + Botafogo Win,,10 NOK,Lost,-10 NOK,"Early combo loss",6.97
2026-05-25,Auger-Aliassime vs Altmaier,Felix -1.5 Sets,1.62,10 NOK,Lost,-10 NOK,"Tennis loss",
2026-05-25,USA vs Østerrike,Over 5.5 Goals,1.70,10 NOK,Lost,-10 NOK,"IIHF total loss",
2026-05-26,Sverige + USA + Stabaek Combo,Over 4.5 + Over 5.5 + Over 2.5,,10 NOK,Lost,-10 NOK,"USA leg lost",4.08
2026-05-26,Brann (W) vs Lyn (W),Over 2.5 Goals,1.40,10 NOK,Won,+4.00 NOK,"4-0 win, 14 NOK payout",
2026-05-26,Vegas Golden Knights vs Colorado Avalanche,Vegas ML,1.90,10 NOK,Won,+9.00 NOK,"Vegas win - 19 NOK payout",
2026-05-26,OKC Thunder vs San Antonio Spurs,OKC ML,1.52,10 NOK,Won,+5.20 NOK,"OKC win - 15.20 NOK payout",
2026-05-26,Andreas Leknessund vs Valgren (Cycling),Leknessund Win,1.60,10 NOK,Lost,-10 NOK,"Lost by 2.3 seconds",
2026-05-26,Vegas-anchored Combo,Vegas + OKC + value legs,,10 NOK,Lost,-10 NOK,"Heroic lost",7.8
2026-05-26,Gremio vs CA Torque,Gremio Win,1.52,10 NOK,Lost,-10 NOK,"Final 2-2 + red card",
2026-05-26,Lanus vs Mirassol,Over 2.5 Goals,2.50,10 NOK,Lost,-10 NOK,"Final 1-0",
2026-05-26,Palestino vs CD Riestra,BTTS Yes,1.92,10 NOK,Won,+9.20 NOK,"Palestino win - 19.20 NOK payout",
2026-05-26,Gremio/LDU/San Lorenzo Combo,Multiple HUB bets,,10 NOK,Lost,-10 NOK,"Gremio and San Lorenzo lost",4.15
2026-05-26,Over 4.5 Canada vs USA,Over 4.5 Goals,2.50,10 NOK,Lost,-10 NOK,"Canada 4-0 loss on total",
2026-05-26,Heroic vs Ninjas In Pyjapis,Heroic Win,1.70,10 NOK,Lost,-10 NOK,"Esports loss",
2026-05-26,Milwaukee Brewers vs St. Louis Cardinals,Brewers Win,1.48,10 NOK,Won,+4.80 NOK,"MLB win",
2026-05-26,Over 2.5 Stabaek (W) vs Haugesund (W),Over 2.5 Goals,1.55,10 NOK,Won,+5.50 NOK,"Women's league",
2026-05-26,Sverige vs Slovakia,Over 4.5 Goals,1.55,10 NOK,Won,+5.50 NOK,"IIHF",
2026-05-27,Drammen vs Kolstad,Kolstad -2.5,1.90,10 NOK,Won,+9.00 NOK,"Kolstad -2.5 win - 19 NOK payout",
2026-05-27,Team Esbjerg vs HC Odense,Team Esbjerg -2.5,1.75,10 NOK,Won,+7.50 NOK,"Esbjerg -2.5 win - 17.50 NOK payout",
2026-05-27,Casper Ruud vs Medjedovic,Ruud ML,1.35,10 NOK,Won,+3.50 NOK,"Ruud win - 13.50 NOK payout",
2026-05-27,Ruud + Kolstad + PSG + Fonseca Combo,4-ling,,10 NOK,Won,+69.41 NOK,"Big combo win - 79.41 NOK payout",7.94
2026-05-27,Fylkir Reykjavik vs Leiknir,Fylkir Win,1.27,10 NOK,Won,+2.70 NOK,"Fylkir win - 12.70 NOK payout",
2026-05-27,Athletics vs Seattle Mariners,Mariners ML,1.74,10 NOK,Won,+7.40 NOK,"Mariners win - 17.40 NOK payout",
2026-05-27,Crystal Palace vs Rayo Vallecano,Crystal Palace Win,2.05,10 NOK,Won,+10.50 NOK,"Crystal Palace win - 20.50 NOK payout",
2026-05-27,Fylkir + Mariners + Palace Combo,Multiple bets,,10 NOK,Lost,-10 NOK,"BTTS leg failed",5.90
2026-05-27,Racing Club vs Independiente,Racing Club Win,1.15,10 NOK,Won,+1.50 NOK,"Copa Sudamericana",
2026-05-27,Racing Club -2 Handicap,Racing Club -2,2.25,10 NOK,Lost,-10 NOK,"Handicap loss",
2026-05-27,Under 2.5 Penarol vs Santa Fe,Under 2.5 Goals,1.60,10 NOK,Won,+6.00 NOK,"Copa Libertadores",
2026-05-28,Brandon Nakashima -4.5 games,Brandon -4.5,1.80,10 NOK,Won,+8.00 NOK,"Brandon -4.5 win - 18 NOK payout",
2026-05-28,Stefanos Tsitsipas -1.5 sets,Tsitsipas -1.5,1.92,10 NOK,Lost,-10 NOK,"Tsitsipas loss",
2026-05-28,Victoria Mboko -4.5 games,Mboko -4.5,1.90,10 NOK,Lost,-10 NOK,"Mboko loss",
2026-05-28,Norge vs Latvia,Under 4.5 Goals,1.52,10 NOK,Won,+5.20 NOK,"Norge U4.5 win - 15.20 NOK payout",
2026-05-28,Sveits vs Sverige,Sveits Win (HUB),2.30,10 NOK,Won,+13.00 NOK,"Sveits win - 23 NOK payout",
2026-05-28,Wieczysta Krakow vs Polonia,Wieczysta Win,1.85,10 NOK,Won,+8.50 NOK,"Krakow win - 18.50 NOK payout",
2026-05-28,Big 4-ling Combo,4-ling,,10 NOK,Won,+91.89 NOK,"Combo win - 101.89 NOK payout",10.19
2026-05-28,Storhamar vs Sola,Storhamar -1.5,1.87,10 NOK,Lost,-10 NOK,"Lost by 8 goals",
2026-05-28,Storhamar Combo,Storhamar -1.5 + Nakashima + Tsitsipas + Kolding U2.5,,10 NOK,Lost,-10 NOK,"Multiple legs lost",8.70
2026-05-28,Canada vs USA,Canada -1.5,1.62,10 NOK,Won,+6.20 NOK,"Canada win - 16.20 NOK payout",
2026-05-28,Finland vs Czechia,Finland -1.5,1.82,10 NOK,Won,+8.20 NOK,"Finland -1.5 win",
2026-05-28,Finland vs Czechia #2,Finland -1.5,1.82,10 NOK,Won,+8.20 NOK,"Second placement of Finland -1.5",
2026-05-28,San Antonio Spurs -3.5,Spurs -3.5 (NBA),1.82,10 NOK,Won,+8.20 NOK,"Spurs win",
2026-05-28,Tirante vs Carreno Busta,Tirante -4.5 Games,1.82,10 NOK,Lost,-10 NOK,"Tirante loss",
2026-05-28,Colorado Eagles vs Chicago Wolves,Colorado Eagles -0.5,1.85,10 NOK,Lost,-10 NOK,"AHL loss",
2026-05-28,Boca Juniors vs Universidad Catolica,Boca Juniors -1,2.35,10 NOK,Lost,-10 NOK,"Copa loss",
2026-05-28,Mboko vs Siniakova,Mboko -4.5 Games,1.90,10 NOK,Lost,-10 NOK,"WTA loss",
2026-05-28,Storhamar Handball,Storhamar -1.5,1.87,10 NOK,Lost,-10 NOK,"Handball loss",

2026-05-29,HK Malmö vs IFK Kristianstad (Handball),Over 65.5 Total,1.82,10 NOK,Won,+8.20 NOK,"HK Malmö O65.5 win 18.20 nok payout",
2026-05-29,Ruud vs Paul (Tennis),Ruud -1.5 Sets,1.57,10 NOK,Lost,-10 NOK,"Ruud -1.5 loss",
2026-05-29,Füchse Berlin vs ThSV Eisenach (Handball),Füchse -5.5,1.70,10 NOK,Lost,-10 NOK,"Füchse Berlin -5.5 loss",
2026-05-29,New Combo @8.12 (earlier pending),Djokovic Win + Zverev -1.5 Sets + Nimes Over 57.5 + Bolelli/Vavassori Win,,10 NOK,Lost,-10 NOK,"Combo loss (Novak/Djokovic leg and Zverev leg lost, others won)",8.12
2026-05-29,Aalesund vs HamKam,Over 2.5 Goals,1.65,10 NOK,Won,+6.50 NOK,"Aalesund O2.5 win 16.50 nok payout",
2026-05-29,Fredrikstad vs Start,Fredrikstad Win,1.72,10 NOK,Won,+7.20 NOK,"Fredrikstad win 17.20 nok payout",
2026-05-29,Vålerenga vs Kristiansund,Vålerenga Win,1.62,10 NOK,Won,+6.20 NOK,"Vålerenga win 16.20 nok payout",
2026-05-29,National Bank of Egypt vs Al Ittihad,National Bank Win,1.70,10 NOK,Lost,-10 NOK,"National Bank of Egypt SC loss final score 2-2",
2026-05-29,High Odds Combo @16.26,User's diversified high-odds combo (different legs),,10 NOK,Lost,-10 NOK,"Combo Brann loss + KFUM O2.5 loss +Ghazl Uavgjort loss + HC Erlangen -1.5 loss",16.26
2026-05-29,Faze Clan vs Sharks (CS Esports),Faze Clan Win,1.35,10 NOK,Won,+3.20 NOK,"Faze Clan win 13.20 nok payout",
2026-05-29,Rob Cross vs Cameron Menzies (Darts),Rob Cross Win,1.52,10 NOK,Lost,-10 NOK,"Cross loss",
2026-05-29,Dirk van Duijvenbode vs Paul Krohne (Darts),van Duijvenbode Win,1.35,10 NOK,Won,+3.50 NOK,"Dirk win 13.50 nok payout",
2026-05-29,Alexander Zverev vs Quentin Halys (Tennis French Open),Zverev -7.5 Games,2.00,10 NOK,Lost,-10 NOK,"Zverev -7.5 loss",
2026-05-29,New Diversified Combo @~8.45,Bencic Win + Conviction Win + Over 9.5 Legs (Menzies/Cross) + Faze -1.5 Maps,,10 NOK,Lost,-10 NOK,"Combo Bencic win + Conviction win + Menzies O8.5 loss + Faze Clan -1.5 win (loss on Menzies leg)",8.45

2026-05-30,Carolina Hurricanes vs Montreal Canadiens,Carolina ML,1.37,10 NOK,Won,+6.00 NOK,"Carolina Hurricanes -0.5 win 16 NOK payout (updated from ML to match result)",
2026-05-30,Wilkes-Barre/Scranton Penguins vs Toronto Marlies,Wilkes-Barre Penguins ML,1.60,10 NOK,Lost,-10 NOK,"Penguins loss",
2026-05-30,New York Liberty vs Phoenix Mercury,Liberty ML,1.40,10 NOK,Won,+4.00 NOK,"New York Liberty win 14 NOK payout",
